categoryName,categoryImagerUrl
جبن,https://static.webteb.net/images/content/tbl_articles_article_24587_4045dc1112f-a396-460c-9772-a883e56e058e.jpg
خلطات,https://img.lahloba.com/news/large/0db01acc-9fc1-411c-9b6f-29169ef4e6ad.jpg
اسماك مجمده,https://alwatannews.net/uploads/images/2017/11/22/1192749.jpg
طماطم,https://www.sayidaty.net/sites/default/files/styles/1375_scale/public/2020/03/03/6461911-1223184468.jpg?itok=0pzmmbFA
بسطرمه ولانشون,https://modo3.com/thumbs/fit630x300/160682/1494053230/%D8%B7%D8%B1%D9%8A%D9%82%D8%A9_%D8%B9%D9%85%D9%84_%D9%84%D8%A7%D9%86%D8%B4%D9%88%D9%86_%D8%A8%D8%A7%D9%84%D8%A8%D9%8A%D8%B6.jpg
حلاوه,https://kitchen.sayidaty.net/uploads/small/5f/5f8b8b1bc4b6829543d5153d61012bbe_w750_h750.jpg
عطارة,https://cdn.mosoah.com/wp-content/uploads/2018/05/%D8%AA%D8%B1%D9%83%D9%8A%D8%A8%D8%A9-%D8%B9%D8%B7%D8%A7%D8%B1%D8%A9-%D9%84%D9%84%D9%82%D9%88%D9%84%D9%88%D9%86-800x510.jpg
لحوم طازجة,http://foodsources.com.sa/wp-content/uploads/2018/01/pro_05.png
بقوليات وحبوب,https://static.webteb.net/images/uploads/content/%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA.jpg
بقوليات,https://turkeyana.com/wp-content/uploads/2017/03/46737363-3d61-4d88-a0d9-53437acd9fab.png
مستلزمات حلويات,https://firebasestorage.googleapis.com/v0/b/ecommerce-55b58.appspot.com/o/categories%2F1300400.jpg?alt=media&token=e21d9ac9-6514-44ea-8e63-f791b1b90f38
مكسرات,https://www.taw3ia.com/wp-content/uploads/2020/02/%D9%81%D9%88%D8%A7%D8%A6%D8%AF-%D8%A7%D9%84%D9%85%D9%83%D8%B3%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B5%D8%AD%D9%8A%D8%A9.jpg
لحوم مجمده,https://alwafd.news/images/thumbs/828/news/2c61c3b9247e19c50bec4b27989fa59d.jpg
عصائر,https://vid.alarabiya.net/images/2021/05/16/94302d8a-20f1-4d65-810c-1b1ec44f2371/94302d8a-20f1-4d65-810c-1b1ec44f2371.jpg
فواكه,https://static.webteb.net/images/content/tbl_articles_article_17115_62621da2502-cd69-4893-9567-0675a03e1b6a.jpg
عطارة وتوابل,https://tijaratuna.com/wp-content/uploads/2020/07/%D9%84%D8%A7.jpg
مخللات,https://maqlat.net/wp-content/uploads/2020/04/4-3.jpg
خضروات,http://www.thaqafnafsak.com/wp-content/uploads/2013/04/%D8%AE%D8%B6%D8%B1%D9%88%D8%A7%D8%AA.-%D8%AB%D9%82%D9%81-%D9%86%D9%81%D8%B3%D9%83.jpg
